Timestamp_ms,Sample_ID,Raw_Voltage,Filtered_Signal,Variance_Delta
499,1,439.0,439.0,0.0
602,2,415.0,427.0,-12.0
703,3,351.0,401.67,-50.67
805,4,315.0,380.0,-65.0
908,5,326.0,369.2,-43.2
1009,6,331.0,362.83,-31.83
1112,7,332.0,358.43,-26.43
1214,8,392.0,362.63,29.37
1315,9,398.0,366.56,31.44
1418,10,375.0,367.4,7.6
1520,11,356.0,359.1,-3.1
1623,12,322.0,349.8,-27.8
1724,13,251.0,339.8,-88.8
1826,14,269.0,335.2,-66.2
1929,15,280.0,330.6,-50.6
2031,16,285.0,326.0,-41.0
2132,17,340.0,326.8,13.2
2235,18,356.0,323.2,32.8
2337,19,337.0,317.1,19.9
2440,20,319.0,311.5,7.5
2541,21,291.0,305.0,-14.0
2643,22,219.0,294.7,-75.7
2746,23,239.0,293.5,-54.5
2848,24,250.0,291.6,-41.6
2951,25,256.0,289.2,-33.2
3052,26,310.0,291.7,18.3
3154,27,334.0,291.1,42.9
3257,28,316.0,287.1,28.9
3359,29,298.0,283.2,14.8
3461,30,273.0,278.6,-5.6
3563,31,198.0,269.3,-71.3
3665,32,216.0,269.0,-53.0
3768,33,230.0,268.1,-38.1
3869,34,237.0,266.8,-29.8
3972,35,292.0,270.4,21.6
4074,36,320.0,271.4,48.6
4176,37,304.0,268.4,35.6
4278,38,284.0,265.2,18.8
4380,39,262.0,261.6,0.4
4483,40,186.0,252.9,-66.9
4585,41,203.0,253.4,-50.4
4686,42,218.0,253.6,-35.6
4789,43,227.0,253.3,-26.3
4891,44,279.0,257.5,21.5
4994,45,314.0,259.7,54.3
5096,46,300.0,257.7,42.3
5197,47,279.0,255.2,23.8
5300,48,260.0,252.8,7.2
5402,49,180.0,244.6,-64.6
5505,50,197.0,245.7,-48.7
5606,51,214.0,246.8,-32.8
5708,52,224.0,247.4,-23.4
5811,53,274.0,252.1,21.9
5913,54,311.0,255.3,55.7
6014,55,294.0,253.3,40.7
6117,56,278.0,251.1,26.9
6219,57,263.0,249.5,13.5
6322,58,186.0,242.1,-56.1
6423,59,202.0,244.3,-42.3
6525,60,216.0,246.2,-30.2
6628,61,226.0,247.4,-21.4
6730,62,276.0,252.6,23.4
6833,63,310.0,256.2,53.8
6934,64,294.0,254.5,39.5
7036,65,278.0,252.9,25.1
7139,66,263.0,251.4,11.6
7241,67,187.0,243.8,-56.8
7343,68,201.0,245.3,-44.3
7445,69,217.0,246.8,-29.8
7547,70,226.0,247.8,-21.8
7650,71,275.0,252.7,22.3
7751,72,313.0,256.4,56.6
7854,73,294.0,254.8,39.2
7956,74,279.0,253.3,25.7
8058,75,263.0,251.8,11.2
8160,76,187.0,244.2,-57.2
8262,77,201.0,245.6,-44.6
8365,78,217.0,247.2,-30.2
8467,79,227.0,248.2,-21.2
8569,80,275.0,253.1,21.9
8671,81,314.0,257.0,57.0
8773,82,295.0,255.2,39.8
8876,83,278.0,253.6,24.4
