Timestamp_ms,Raw_Voltage,Filtered_Signal,Variance_Delta,Accuracy_%,Precision_%,Recall_%,LED_Command
900,342.0,342.0,0.0,100.0,100.0,100.0,PULSE (NORMAL)
1301,287.0,314.5,-27.5,100.0,100.0,100.0,PULSE (NORMAL)
1703,274.0,301.0,-27.0,100.0,100.0,100.0,PULSE (NORMAL)
2106,275.0,294.5,-19.5,100.0,100.0,100.0,PULSE (NORMAL)
2507,378.0,311.2,66.8,100.0,100.0,100.0,PULSE (NORMAL)
2910,384.0,323.33,60.67,100.0,100.0,100.0,PULSE (NORMAL)
3312,363.0,329.0,34.0,100.0,100.0,100.0,PULSE (NORMAL)
3714,333.0,329.5,3.5,100.0,100.0,100.0,PULSE (NORMAL)
4116,214.0,316.67,-102.67,100.0,100.0,100.0,PULSE (NORMAL)
4518,162.0,301.2,-139.2,100.0,100.0,100.0,PULSE (NORMAL)
4921,169.0,283.9,-114.9,100.0,100.0,100.0,PULSE (NORMAL)
5322,186.0,273.8,-87.8,100.0,100.0,100.0,PULSE (NORMAL)
5725,295.0,275.9,19.1,100.0,100.0,100.0,PULSE (NORMAL)
6127,341.0,282.5,58.5,100.0,100.0,100.0,PULSE (NORMAL)
6530,336.0,278.3,57.7,100.0,100.0,100.0,PULSE (NORMAL)
6931,313.0,271.2,41.8,100.0,100.0,100.0,PULSE (NORMAL)
7333,211.0,256.0,-45.0,100.0,100.0,100.0,PULSE (NORMAL)
7736,151.0,237.8,-86.8,100.0,100.0,100.0,PULSE (NORMAL)
8138,159.0,232.3,-73.3,100.0,100.0,100.0,PULSE (NORMAL)
8540,177.0,233.8,-56.8,100.0,100.0,100.0,PULSE (NORMAL)
8942,278.0,244.7,33.3,100.0,100.0,100.0,PULSE (NORMAL)
9345,338.0,259.9,78.1,100.0,100.0,100.0,PULSE (NORMAL)
9747,335.0,263.9,71.1,100.0,100.0,100.0,PULSE (NORMAL)
10148,313.0,261.1,51.9,100.0,100.0,100.0,PULSE (NORMAL)
10551,212.0,248.7,-36.7,100.0,100.0,100.0,PULSE (NORMAL)
10953,154.0,232.8,-78.8,100.0,100.0,100.0,PULSE (NORMAL)
11356,159.0,227.6,-68.6,100.0,100.0,100.0,PULSE (NORMAL)
11758,179.0,230.4,-51.4,100.0,100.0,100.0,PULSE (NORMAL)
12160,296.0,244.1,51.9,100.0,100.0,100.0,PULSE (NORMAL)
12562,339.0,260.3,78.7,100.0,100.0,100.0,PULSE (NORMAL)
12964,332.0,265.7,66.3,100.0,100.0,100.0,PULSE (NORMAL)
13367,308.0,262.7,45.3,100.0,100.0,100.0,PULSE (NORMAL)
13769,180.0,247.2,-67.2,100.0,100.0,100.0,PULSE (NORMAL)
14172,148.0,230.7,-82.7,100.0,100.0,100.0,PULSE (NORMAL)
14573,162.0,225.7,-63.7,100.0,100.0,100.0,PULSE (NORMAL)
14976,186.0,228.9,-42.9,100.0,100.0,100.0,PULSE (NORMAL)
15378,316.0,244.6,71.4,100.0,100.0,100.0,PULSE (NORMAL)
15780,340.0,260.7,79.3,100.0,100.0,100.0,PULSE (NORMAL)
16183,327.0,263.8,63.2,100.0,100.0,100.0,PULSE (NORMAL)
16584,295.0,259.4,35.6,100.0,100.0,100.0,PULSE (NORMAL)
16987,164.0,242.6,-78.6,100.0,100.0,100.0,PULSE (NORMAL)
17389,146.0,226.4,-80.4,100.0,100.0,100.0,PULSE (NORMAL)
17792,165.0,224.9,-59.9,100.0,100.0,100.0,PULSE (NORMAL)
18194,202.0,230.3,-28.3,100.0,100.0,100.0,PULSE (NORMAL)
18595,325.0,246.6,78.4,100.0,100.0,100.0,PULSE (NORMAL)
18998,340.0,262.0,78.0,100.0,100.0,100.0,PULSE (NORMAL)
19400,325.0,262.9,62.1,100.0,100.0,100.0,PULSE (NORMAL)
19803,283.0,257.2,25.8,100.0,100.0,100.0,PULSE (NORMAL)
20205,163.0,240.8,-77.8,100.0,100.0,100.0,PULSE (NORMAL)
20606,146.0,225.9,-79.9,100.0,100.0,100.0,PULSE (NORMAL)
21009,166.0,226.1,-60.1,100.0,100.0,100.0,PULSE (NORMAL)
21411,203.0,231.8,-28.8,100.0,100.0,100.0,PULSE (NORMAL)
21814,325.0,247.8,77.2,100.0,100.0,100.0,PULSE (NORMAL)
22216,340.0,261.6,78.4,100.0,100.0,100.0,PULSE (NORMAL)
22618,326.0,261.7,64.3,100.0,100.0,100.0,PULSE (NORMAL)
23020,290.0,256.7,33.3,100.0,100.0,100.0,PULSE (NORMAL)
23422,163.0,240.5,-77.5,100.0,100.0,100.0,PULSE (NORMAL)
23825,150.0,227.2,-77.2,100.0,100.0,100.0,PULSE (NORMAL)
24227,163.0,227.2,-64.2,100.0,100.0,100.0,PULSE (NORMAL)
24629,190.0,231.6,-41.6,100.0,100.0,100.0,PULSE (NORMAL)
25031,317.0,246.7,70.3,100.0,100.0,100.0,PULSE (NORMAL)
25434,340.0,260.4,79.6,100.0,100.0,100.0,PULSE (NORMAL)
25836,330.0,260.9,69.1,100.0,100.0,100.0,PULSE (NORMAL)
26238,307.0,257.6,49.4,100.0,100.0,100.0,PULSE (NORMAL)
26640,181.0,243.1,-62.1,100.0,100.0,100.0,PULSE (NORMAL)
27042,147.0,228.8,-81.8,100.0,100.0,100.0,PULSE (NORMAL)
27445,160.0,228.5,-68.5,100.0,100.0,100.0,PULSE (NORMAL)
27847,180.0,231.5,-51.5,100.0,100.0,100.0,PULSE (NORMAL)
28250,285.0,243.7,41.3,100.0,100.0,100.0,PULSE (NORMAL)
28651,340.0,258.7,81.3,100.0,100.0,100.0,PULSE (NORMAL)
29053,338.0,260.8,77.2,100.0,100.0,100.0,PULSE (NORMAL)
29456,317.0,258.5,58.5,100.0,100.0,100.0,PULSE (NORMAL)
29858,235.0,249.0,-14.0,100.0,100.0,100.0,PULSE (NORMAL)
30261,153.0,233.6,-80.6,100.0,100.0,100.0,PULSE (NORMAL)
30662,154.0,230.9,-76.9,100.0,100.0,100.0,PULSE (NORMAL)
31065,170.0,233.2,-63.2,100.0,100.0,100.0,PULSE (NORMAL)
31467,224.0,239.6,-15.6,100.0,100.0,100.0,PULSE (NORMAL)
31869,334.0,255.0,79.0,100.0,100.0,100.0,PULSE (NORMAL)
32272,342.0,260.7,81.3,100.0,100.0,100.0,PULSE (NORMAL)
32673,329.0,259.6,69.4,100.0,100.0,100.0,PULSE (NORMAL)
33076,300.0,255.8,44.2,100.0,100.0,100.0,PULSE (NORMAL)
33478,175.0,241.6,-66.6,100.0,100.0,100.0,PULSE (NORMAL)
33881,148.0,232.9,-84.9,100.0,100.0,100.0,PULSE (NORMAL)
34283,161.0,233.7,-72.7,100.0,100.0,100.0,PULSE (NORMAL)
34685,181.0,236.4,-55.4,100.0,100.0,100.0,PULSE (NORMAL)
35087,285.0,247.9,37.1,100.0,100.0,100.0,PULSE (NORMAL)
35489,342.0,259.7,82.3,100.0,100.0,100.0,PULSE (NORMAL)
35892,339.0,260.2,78.8,100.0,100.0,100.0,PULSE (NORMAL)
36294,319.0,257.9,61.1,100.0,100.0,100.0,PULSE (NORMAL)
36697,249.0,249.9,-0.9,100.0,100.0,100.0,PULSE (NORMAL)
37098,156.0,235.5,-79.5,100.0,100.0,100.0,PULSE (NORMAL)
37500,148.0,232.8,-84.8,100.0,100.0,100.0,PULSE (NORMAL)
37903,167.0,234.7,-67.7,100.0,100.0,100.0,PULSE (NORMAL)
38305,199.0,238.5,-39.5,100.0,100.0,100.0,PULSE (NORMAL)
38707,320.0,252.4,67.6,100.0,100.0,100.0,PULSE (NORMAL)
39109,344.0,258.3,85.7,100.0,100.0,100.0,PULSE (NORMAL)
39512,332.0,257.3,74.7,100.0,100.0,100.0,PULSE (NORMAL)
39914,311.0,254.5,56.5,100.0,100.0,100.0,PULSE (NORMAL)
40316,202.0,242.8,-40.8,100.0,100.0,100.0,PULSE (NORMAL)
40719,154.0,233.3,-79.3,100.0,100.0,100.0,PULSE (NORMAL)
